# Epoch [d], NII_percentage, NII_percentage_sig
1.520000000000000000e+02,3.590754597194562692e+00,2.629028935760790997e-01
1.550000000000000000e+02,3.317414832857521478e+00,6.706089814758577905e-01
2.010000000000000000e+02,5.618241832289466942e+00,1.103294498998803747e-01
2.020000000000000000e+02,5.493769553845441855e+00,1.373784179886197443e-01
2.070000000000000000e+02,5.548105272400140286e+00,1.359394928249034462e-01
2.390000000000000000e+02,6.617810367036789820e+00,1.520067319316104337e-01
2.680000000000000000e+02,8.328696886897674290e+00,3.339597504792008453e-01
2.920000000000000000e+02,1.011818067651516628e+01,1.789122521992544124e-01
3.590000000000000000e+02,1.387874677103018506e+01,1.123824784440043134e-01
4.150000000000000000e+02,1.545764870742742048e+01,2.297054086145378649e-01
