"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"926","2001ig","","344.37787","-41.04053","SN IIb","0.003049","2872","2001-12-11 00:00:00.00","2452254.5","","Magellan-Clay","LDSS-2","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2001ig_2001-12-11_00-00-00_Magellan-Clay_LDSS-2_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","5000","9997.5","2.49875","Silverman 2009","2009PASP..121..689S","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"926","2001ig","","344.37787","-41.04053","SN IIb","0.003049","2873","2001-12-16 00:00:00.00","2452259.5","","ESO-NTT","EMMI","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2001ig_2001-12-16_00-00-00_ESO-NTT_EMMI_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3982.1","9406.65","1.3246764346764","Silverman 2009","2009PASP..121..689S","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"926","2001ig","","344.37787","-41.04053","SN IIb","0.003049","2874","2001-12-23 00:00:00.00","2452266.5","","Keck1","LRIS","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2001ig_2001-12-23_00-00-00_Keck1_LRIS_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3250","10299","0.99985815602837","Silverman 2009","2009PASP..121..689S","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"926","2001ig","","344.37787","-41.04053","SN IIb","0.003049","2882","2001-12-23 05:06:43.00","2452266.7129977","","Keck1","LRIS","Alex Filippenko,Ryan Chornock","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2001ig_2001-12-23_05-06-43_Keck1_LRIS_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","60","0","","2.48732","","","","","3250","10300","1.9994327850255","Silverman, et al. 2009","2009PASP..121..689S","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7772 2001-12-10 Evans IAUC 77724.5 7 1 27.9994 29.6508 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"926","2001ig","","344.37787","-41.04053","SN IIb","0.003049","2875","2002-01-12 00:00:00.00","2452286.5","","ESO-3.6m","EFOSC2-3.6","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2001ig_2002-01-12_00-00-00_ESO-3.6m_EFOSC2-3.6_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3357.07","10301.07","1.9994241289951","Silverman 2009","2009PASP..121..689S","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"926","2001ig","","344.37787","-41.04053","SN IIb","0.003049","2876","2002-01-17 00:00:00.00","2452291.5","","Keck1","LRIS","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2001ig_2002-01-17_00-00-00_Keck1_LRIS_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","5710","6994.5","0.49980544747082","Silverman 2009","2009PASP..121..689S","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"926","2001ig","","344.37787","-41.04053","SN IIb","0.003049","2883","2002-01-17 04:46:34.00","2452291.6990046","","Keck1","LRIS","Alex Filippenko,Ryan Chornock","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2001ig_2002-01-17_04-46-34_Keck1_LRIS_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","360","0","","4.0864","","","","","3350","10000","1.9993986770896","Silverman, et al. 2009","2009PASP..121..689S","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7772 2001-12-10 Evans IAUC 77724.5 7 1.1 45.9984 47.0713 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"926","2001ig","","344.37787","-41.04053","SN IIb","0.003049","2877","2002-01-18 00:00:00.00","2452292.5","","Keck1","LRIS","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2001ig_2002-01-18_00-00-00_Keck1_LRIS_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3350","5379.5","0.49987684729064","Silverman 2009","2009PASP..121..689S","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"926","2001ig","","344.37787","-41.04053","SN IIb","0.003049","2878","2002-01-18 00:00:00.00","2452292.5","","Keck1","LRIS","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2001ig_2002-01-18_00-00-00_Keck1_LRIS_SUSPECT_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","5710","6994.5","0.49980544747082","Silverman 2009","2009PASP..121..689S","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"926","2001ig","","344.37787","-41.04053","SN IIb","0.003049","2884","2002-01-18 05:05:17.00","2452292.7120023","","Keck1","LRIS","Alex Filippenko,Ryan Chornock","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2001ig_2002-01-18_05-05-17_Keck1_LRIS_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","450","0","","4.99273","","","","","5710","6995","0.99922239502333","Silverman, et al. 2009","2009PASP..121..689S","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7772 2001-12-10 Evans IAUC 77720 3 2 49.9991 51.5344 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
