"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"4114","2008aq","","192.62675","-10.867061","SN IIb","0.007972","12480","2008-02-28 10:48:00.00","2454524.95","","FLWO-1.5m","FAST","WP","Unknown","CfA-Stripped","Y","CfA-Stripped","","2008aq_2008-02-28_10-48-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.41","","","","","3477","7419.54","1.4694521058517","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-05-12 13:33:48"
"4114","2008aq","","192.62675","-10.867061","SN IIb","0.007972","50876","2008-02-29 00:00:00.00","2454525.5","","Lick-3m","KAST","Nicholas Lee, Jeffrey Silverman, Thea Steele, Mohan Ganeshalingam","Thea Steele","UCB-SNDB","Y","UCB-SNDB","","SN_2008aq_2008-02-29_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4400","9884","3.997084548105","","2019MNRAS.482.1545S","SNR: 84.1993;","WIS_Bot1","2019-01-23 10:48:35"
"4114","2008aq","","192.62675","-10.867061","SN IIb","0.007972","69697","2008-02-29 07:26:24.00","2454525.81","","Magellan-Baade","IMACS","NA","","","Y","","","2008aq_2008-02-29.31_Magellan-Baade_IMACS_None.txt","2008aq_2008-02-29.31_Magellan-Baade_IMACS_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","600","","","1.06","","","","","3742.8","6470.0006336187","1.8217773103665","Stritzinger et al. 2023","2023arXiv230211303S","","WIS_Bot1","2023-04-02 15:40:25"
"4114","2008aq","","192.62675","-10.867061","SN IIb","0.007972","69698","2008-02-29 07:26:24.00","2454525.81","","Magellan-Baade","IMACS","NA","","","Y","","","2008aq_2008-02-29.31_Magellan-Baade_IMACS_None_0.txt","2008aq_2008-02-29.31_Magellan-Baade_IMACS_None_0.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","600","","","1.06","","","","","6559.8792489547","10719.831431254","1.9837635585594","Stritzinger et al. 2023","2023arXiv230211303S","","WIS_Bot1","2023-04-02 15:40:25"
"4114","2008aq","","192.62675","-10.867061","SN IIb","0.007972","12481","2008-02-29 09:50:24.00","2454525.91","","FLWO-1.5m","FAST","GN","Unknown","CfA-Stripped","Y","CfA-Stripped","","2008aq_2008-02-29_09-50-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.36","","","","","3475","7417.54","1.4694521058517","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-05-12 13:33:48"
"4114","2008aq","","192.62675","-10.867061","SN IIb","0.007972","12482","2008-03-01 09:36:00.00","2454526.9","","FLWO-1.5m","FAST","GN","Unknown","CfA-Stripped","Y","CfA-Stripped","","2008aq_2008-03-01_09-36-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.36","","","","","3475","7417.54","1.4694521058517","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-05-12 13:33:48"
"4114","2008aq","","192.62675","-10.867061","SN IIb","0.007972","12483","2008-03-02 10:04:48.00","2454527.92","","FLWO-1.5m","FAST","AV","Unknown","CfA-Stripped","Y","CfA-Stripped","","2008aq_2008-03-02_10-04-48_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.37","","","","","3476","7417.07","1.469451901566","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-05-12 13:33:48"
"4114","2008aq","","192.62675","-10.867061","SN IIb","0.007972","12484","2008-03-09 09:21:36.00","2454534.89","","FLWO-1.5m","FAST","JHe","Unknown","CfA-Stripped","Y","CfA-Stripped","","2008aq_2008-03-09_09-21-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.37","","","","","3476","7418.54","1.4694521058517","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-05-12 13:33:48"
"4114","2008aq","","192.62675","-10.867061","SN IIb","0.007972","69699","2008-03-14 07:40:48.00","2454539.82","","ESO-3.6m","EFOSC2-3.6","NA","","","Y","","","2008aq_2008-03-14.32_ESO-3.6m_EFOSC2-3.6_None.txt","2008aq_2008-03-14.32_ESO-3.6m_EFOSC2-3.6_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","600","","","1.12","","","","","3300","9236.1942517345","2.7044165155966","Stritzinger et al. 2023","2023arXiv230211303S","","WIS_Bot1","2023-04-02 15:40:25"
"4114","2008aq","","192.62675","-10.867061","SN IIb","0.007972","69700","2008-03-19 07:26:24.00","2454544.81","","Magellan-Baade","MagE","NA","","","Y","","","2008aq_2008-03-19.31_Magellan-Baade_MagE_None.txt","2008aq_2008-03-19.31_Magellan-Baade_MagE_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1200","","","1.13","","","","","3227.0791590323","9470.126953125","0.25153294899648","Stritzinger et al. 2023","2023arXiv230211303S","","WIS_Bot1","2023-04-02 15:40:25"
