"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"8645","2008ax","","187.67","41.63736","SN IIb","0.001931","26312","2008-03-04 08:52:48.00","2454529.87","","FLWO-1.5m","FAST","AV","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2008ax_2008-03-04_08-52-48_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.02","","","","","3477","7418.07","1.469451901566","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"8645","2008ax","","187.67","41.63736","SN IIb","0.001931","26313","2008-03-05 08:24:00.00","2454530.85","","FLWO-1.5m","FAST","AV","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2008ax_2008-03-05_08-24-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.02","","","","","3474","7416.54","1.4694521058517","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"8645","2008ax","","187.67","41.63736","SN IIb","0.001931","26314","2008-03-06 09:07:12.00","2454531.88","","FLWO-1.5m","FAST","AV","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2008ax_2008-03-06_09-07-12_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.02","","","","","3488","7432.01","1.4694523099851","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"8645","2008ax","","187.67","41.63736","SN IIb","0.001931","26337","2008-03-08 02:22:00.00","2454533.5986111","","CA-2.2m","CAFOS","Unknown","Unknown","","Y","","","SN2008ax_2008-03-08_02-22-00_CA-2.2m_CAFOS_None.ascii","SN2008ax_2008-03-08_02-22-00_CA-2.2m_CAFOS_None.fits","Object","","","Air","Angstrom","1","Other","","2400","0","","1.01","","B200","","","3245","8863.421875","4.6820182291667","Taubenberger et al 2011","2011MNRAS.413.2140T","[Data obtained from:Stefan Taubenberger] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"8645","2008ax","","187.67","41.63736","SN IIb","0.001931","26315","2008-03-08 10:33:36.00","2454533.94","","FLWO-1.5m","FAST","AV","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2008ax_2008-03-08_10-33-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.09","","","","","3476","7418.54","1.4694521058517","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"8645","2008ax","","187.67","41.63736","SN IIb","0.001931","26316","2008-03-09 08:52:48.00","2454534.87","","FLWO-1.5m","FAST","JHe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2008ax_2008-03-09_08-52-48_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.02","","","","","3475","7417.54","1.4694521058517","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"8645","2008ax","","187.67","41.63736","SN IIb","0.001931","26338","2008-03-11 00:00:00.00","2454536.5","","Ekar","AFOSC","Unknown","Unknown","","Y","","","SN2008ax_2008-03-11_00-00-00_Ekar_AFOSC_None.ascii","SN2008ax_2008-03-11_00-00-00_Ekar_AFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","2559","0","","1.01","","gm2,4","","","3500.2004394531","10171.553710937","4.2411654618463","Taubenberger et al 2011","2011MNRAS.413.2140T","[Data obtained from:Stefan Taubenberger] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"8645","2008ax","","187.67","41.63736","SN IIb","0.001931","26317","2008-03-11 08:38:24.00","2454536.86","","FLWO-1.5m","FAST","JHe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2008ax_2008-03-11_08-38-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.02","","","","","3474","7416.54","1.4694521058517","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"8645","2008ax","","187.67","41.63736","SN IIb","0.001931","26304","2008-03-12 00:00:00.00","2454537.5","","Wise1m","FOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2008ax_2008-03-12_00-00-00_Wise1m_FOSC_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","7200","0","","","","","","","3987.8969726562","8234.873046875","3.169385130014","Pastorello 2008","2008MNRAS.389..955P","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source; [Prev. spec info - createdby: upload-suspect; modifiedby: ilanm]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"8645","2008ax","","187.67","41.63736","SN IIb","0.001931","26339","2008-03-12 00:00:00.00","2454537.5","","Lick-3m","KAST","Steele, Wang","Thea Steele","","Y","","","SN2008ax_2008-03-12_00-00-00_Lick-3m_KAST_None.ascii","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3300","10600","1.9994522048754","","","Data was ingested from the &lt;a href=&#039;https://sne.space/&#039;&gt;Open Supernova Catalog&lt;/a&gt; [CAUTION: The uploaded spectrum may already be de-redshifted; please check.] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
