"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"1296","2011hs","","344.299042","-43.384467","SN IIb","0.0057","3910","2011-11-14 00:00:00.00","2455879.5","","SALT","RSS","Unknown","Unknown","","Y","","","2011hs_2011-11-14_00-00-00_SALT_RSS_None.ascii","2011hs_2011-11-14_00-00-00_SALT_RSS_None.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","p0900","","","3200.31982422","9017.3125","1.8966392813107","Bufano, F. et al","2014MNRAS.439.1807B","[Data obtained from:Bufano, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-01-19 13:26:48"
"1296","2011hs","","344.299042","-43.384467","SN IIb","0.0057","3911","2011-11-15 00:00:00.00","2455880.5","","Magellan-Clay","LDSS-3","Unknown","Unknown","","Y","","","2011hs_2011-11-15_00-00-00_Magellan-Clay_LDSS-3_None.ascii","2011hs_2011-11-15_00-00-00_Magellan-Clay_LDSS-3_None.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","VPH-All","","","3700","5250.00000525","1.8902439088415","Bufano, F. et al","2014MNRAS.439.1807B","[Data obtained from:Bufano, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-01-19 13:26:48"
"1296","2011hs","","344.299042","-43.384467","SN IIb","0.0057","3912","2011-11-15 00:00:00.00","2455880.5","","Magellan-Clay","LDSS-3","Unknown","Unknown","","Y","","","2011hs_2011-11-15_00-00-00_Magellan-Clay_LDSS-3_None_0.ascii","2011hs_2011-11-15_00-00-00_Magellan-Clay_LDSS-3_None_0.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","VPH-All","","","5370","8998.10848784","1.8906245376967","Bufano, F. et al","2014MNRAS.439.1807B","[Data obtained from:Bufano, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-01-19 13:26:48"
"1296","2011hs","","344.299042","-43.384467","SN IIb","0.0057","3913","2011-11-15 00:00:00.00","2455880.5","","SALT","RSS","Unknown","Unknown","","Y","","","2011hs_2011-11-15_00-00-00_SALT_RSS_None.ascii","2011hs_2011-11-15_00-00-00_SALT_RSS_None.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","p0900","","","3194.64941406","8886.82128906","1.9018282241898","Bufano, F. et al","2014MNRAS.439.1807B","[Data obtained from:Bufano, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-01-19 13:26:48"
"1296","2011hs","","344.299042","-43.384467","SN IIb","0.0057","3914","2011-11-16 00:00:00.00","2455881.5","","SOAR","Goodman","Unknown","Unknown","","Y","","","2011hs_2011-11-16_00-00-00_SOAR_Goodman_None.ascii","2011hs_2011-11-16_00-00-00_SOAR_Goodman_None.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","300 l/mm","","","3915.57110761","8919.35243308","2.618409903438","Bufano, F. et al","2014MNRAS.439.1807B","[Data obtained from:Bufano, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-01-19 13:26:48"
"1296","2011hs","","344.299042","-43.384467","SN IIb","0.0057","3915","2011-11-17 00:00:00.00","2455882.5","","ESO-NTT","EFOSC2-NTT","Unknown","Unknown","","Y","","","2011hs_2011-11-17_00-00-00_ESO-NTT_EFOSC2-NTT_None.ascii","2011hs_2011-11-17_00-00-00_ESO-NTT_EFOSC2-NTT_None.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","Gr#13","","","3655.61425781","9251.39534855","5.5130848184631","Bufano, F. et al","2014MNRAS.439.1807B","[Data obtained from:Bufano, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-01-19 13:26:48"
"1296","2011hs","","344.299042","-43.384467","SN IIb","0.0057","3916","2011-11-18 00:00:00.00","2455883.5","","LCO-duPont","WFCCD","Unknown","Unknown","","Y","","","2011hs_2011-11-18_00-00-00_LCO-duPont_WFCCD_None.ascii","2011hs_2011-11-18_00-00-00_LCO-duPont_WFCCD_None.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","GrismBlue","","","3636","9205.64313934","1.9205665997724","Bufano, F. et al","2014MNRAS.439.1807B","[Data obtained from:Bufano, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-01-19 13:26:48"
"1296","2011hs","","344.299042","-43.384467","SN IIb","0.0057","3917","2011-11-18 00:00:00.00","2455883.5","","Magellan-Baade","IMACS","Unknown","Unknown","","Y","","","2011hs_2011-11-18_00-00-00_Magellan-Baade_IMACS_None.ascii","2011hs_2011-11-18_00-00-00_Magellan-Baade_IMACS_None.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","300 l/mm","","","4180.15344098","9380.53732076","1.2696249706494","Bufano, F. et al","2014MNRAS.439.1807B","[Data obtained from:Bufano, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-01-19 13:26:48"
"1296","2011hs","","344.299042","-43.384467","SN IIb","0.0057","3919","2011-11-27 00:00:00.00","2455892.5","","LCO-duPont","WFCCD","Unknown","Unknown","","Y","","","2011hs_2011-11-27_00-00-00_LCO-duPont_WFCCD_None.ascii","2011hs_2011-11-27_00-00-00_LCO-duPont_WFCCD_None.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","GrismBlue","","","3632","9199.89559183","1.9199639971828","Bufano, F. et al","2014MNRAS.439.1807B","[Data obtained from:Bufano, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-01-19 13:26:48"
"1296","2011hs","","344.299042","-43.384467","SN IIb","0.0057","3920","2011-11-28 00:00:00.00","2455893.5","","LCO-duPont","WFCCD","Unknown","Unknown","","Y","","","2011hs_2011-11-28_00-00-00_LCO-duPont_WFCCD_None.ascii","2011hs_2011-11-28_00-00-00_LCO-duPont_WFCCD_None.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","GrismBlue","","","3632","9201.32340843","1.9204563477345","Bufano, F. et al","2014MNRAS.439.1807B","[Data obtained from:Bufano, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-01-19 13:26:48"
