"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"2468","2013df","","186.622208","31.227306","SN IIb","0.002395","49932","2013-06-10 00:00:00.00","2456453.5","","Keck2","DEIMOS","Kelsey Clubb, Weikang Zheng","Brad Cenko","UCB-SNDB","Y","UCB-SNDB","","SN_2013df_2013-06-10_00-00-00_Keck2_DEIMOS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4450","9635.6220136881","0.63525934260543","","2019MNRAS.482.1545S","SNR: 86.2921;","WIS_Bot1","2019-01-23 10:48:35"
"2468","2013df","","186.622208","31.227306","SN IIb","0.002395","8067","2013-06-13 00:00:00.00","2456456.5","","HET","HET-LRS","S. Rostopchin","Jeffrey Silverman","TS3","Y","TS3","","2013df_2013-06-13_00-00-00_HET_HET-LRS_TS3.flm","","Object","High","","Air","Angstrom","1","Other","","0","2","","","","300 l/mm","","","4172","10800","3.9975874547648","Szalai, T.","2016MNRAS.460.1500S","[Data obtained from:Govinda Dhungana] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-10-17 06:28:46"
"2468","2013df","","186.622208","31.227306","SN IIb","0.002395","49944","2013-06-14 05:51:21.00","2456457.7439931","","Lick-3m","KAST","Brad Tucker, Isaac Shivvers","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2013df_2013-06-14_05-51-21_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3500","10500","1.9994287346472","","2019MNRAS.482.1545S","SNR: 46.2596;","WIS_Bot1","2019-01-23 10:48:35"
"2468","2013df","","186.622208","31.227306","SN IIb","0.002395","49941","2013-06-15 05:41:16.00","2456458.7369907","","Lick-3m","KAST","Brad Tucker, Isaac Shivvers","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2013df_2013-06-15_05-41-16_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3500","10500","1.9994287346472","","2019MNRAS.482.1545S","SNR: 48.9254;","WIS_Bot1","2019-01-23 10:48:35"
"2468","2013df","","186.622208","31.227306","SN IIb","0.002395","8069","2013-06-16 00:00:00.00","2456459.5","","HET","HET-LRS","J. Caldwell","Jeffrey Silverman","TS3","Y","TS3","","2013df_2013-06-16_00-00-00_HET_HET-LRS_TS3.flm","","Object","High","","Air","Angstrom","1","Other","","0","2","","","","300 l/mm","","","4172","10800","1.9993966817496","Szalai, T.","2016MNRAS.460.1500S","[Data obtained from:Govinda Dhungana] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-10-17 06:28:46"
"2468","2013df","","186.622208","31.227306","SN IIb","0.002395","49942","2013-06-16 05:47:02.00","2456459.7409954","","Lick-3m","KAST","Brad Tucker, Isaac Shivvers","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2013df_2013-06-16_05-47-02_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3500","10100","1.999394122993","","2019MNRAS.482.1545S","SNR: 54.2445;","WIS_Bot1","2019-01-23 10:48:35"
"2468","2013df","","186.622208","31.227306","SN IIb","0.002395","49943","2013-06-17 08:00:57.00","2456460.8339931","","Lick-3m","KAST","Weikang Zheng","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2013df_2013-06-17_08-00-57_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3700","10000","1.9993652808632","","2019MNRAS.482.1545S","SNR: 53.2311;","WIS_Bot1","2019-01-23 10:48:35"
"2468","2013df","","186.622208","31.227306","SN IIb","0.002395","8075","2013-06-22 08:22:04.00","2456465.8486574","","ANU-2.3m","WiFeS","Childress","Childress","PESSTO","Y","PESSTO","","SN2013df_2013-06-22_08-22-04_ANU-2.3m_WiFeS_PESSTO.dat","SN2013df_2013-06-22_08-22-04_ANU-2.3m_WiFeS_PESSTO.fits","Object","High","","Air","Angstrom","1","Other","","1199","0","","2.159","RT560","","B3000","","3500","5699.341796875","0.77414353990672","Childress et al. 2016","2016PASA...33...55C","WiFeS DR1 Spectra; obtained from Mike Childress. [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-10-17 06:28:46"
"2468","2013df","","186.622208","31.227306","SN IIb","0.002395","8076","2013-06-22 08:22:04.00","2456465.8486574","","ANU-2.3m","WiFeS","Childress","Childress","PESSTO","Y","PESSTO","","SN2013df_2013-06-22_08-22-04_ANU-2.3m_WiFeS_PESSTO_0.dat","SN2013df_2013-06-22_08-22-04_ANU-2.3m_WiFeS_PESSTO_0.fits","Object","High","","Air","Angstrom","1","Other","","1199","0","","2.159","RT560","","R3000","","5400","9566.119140625","1.2525914433629","Childress et al. 2016","2016PASA...33...55C","WiFeS DR1 Spectra; obtained from Mike Childress. [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-10-17 06:28:46"
"2468","2013df","","186.622208","31.227306","SN IIb","0.002395","8070","2013-06-23 00:00:00.00","2456466.5","","HET","HET-LRS","J. Caldwell","Jeffrey Silverman","TS3","Y","TS3","","2013df_2013-06-23_00-00-00_HET_HET-LRS_TS3.flm","","Object","High","","Air","Angstrom","1","Other","","0","2","","","","300 l/mm","","","4172","10800","3.9975874547648","Szalai, T.","2016MNRAS.460.1500S","[Data obtained from:Govinda Dhungana] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-10-17 06:28:46"
