"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7614","2004dk","","245.45388","-2.27147","SN Ib","0.0052","22736","2004-08-03 00:00:00.00","2453220.5","","CA-2.2m","CAFOS","Unknown","Unknown","","Y","","","SN2004dk_2004-08-03_00-00-00_CA-2.2m_CAFOS_None.dat","","Object","High","","Air","Angstrom","1","Other","","0","0","","","","","","","3518.3645","8784.54191","4.6603339911504","Harutyunyan et al. 2008","2008A&amp;A...488..383H","[Data obtained from:Harutyunyan, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2010-11-22 12:36:21"
"7614","2004dk","","245.45388","-2.27147","SN Ib","0.0052","22738","2004-08-08 00:00:00.00","2453225.5","","Lick-3m","KAST","Unknown","Unknown","LOSS","Y","LOSS","","SN2004dk_2004-08-08_00-00-00_Lick-3m_KAST_LOSS.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3310","10400","1.9994359842076","Shivvers et al. 2017","2017PASP..129e4201S","[Data obtained from:Shivvers, I.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2010-11-22 12:36:21"
"7614","2004dk","","245.45388","-2.27147","SN Ib","0.0052","49256","2004-08-08 00:00:00.00","2453225.5","","Lick-3m","KAST","Ryan Foley, Mohan Ganeshalingam, Frank Serduke","Ryan Foley","UCB-SNDB","Y","UCB-SNDB","","SN_2004dk_2004-08-08_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3310","10400","1.9994359842076","","2017PASP..129e4201S","SNR: 48.0511;","WIS_Bot1","2019-01-23 10:48:35"
"7614","2004dk","","245.45388","-2.27147","SN Ib","0.0052","22739","2004-08-16 00:00:00.00","2453233.5","","Lick-3m","KAST","Unknown","Unknown","LOSS","Y","LOSS","","SN2004dk_2004-08-16_00-00-00_Lick-3m_KAST_LOSS.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3320","10400","1.9994351878001","Shivvers et al. 2017","2017PASP..129e4201S","[Data obtained from:Shivvers, I.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2010-11-22 12:36:21"
"7614","2004dk","","245.45388","-2.27147","SN Ib","0.0052","49258","2004-08-16 04:10:33.00","2453233.6739931","","Lick-3m","KAST","Alex Filippenko, Ryan Foley, Mohan Ganeshalingam","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2004dk_2004-08-16_04-10-33_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3320","10400","1.9994351878001","","2017PASP..129e4201S","SNR: 53.4469;","WIS_Bot1","2019-01-23 10:48:35"
"7614","2004dk","","245.45388","-2.27147","SN Ib","0.0052","22743","2004-09-07 03:07:12.00","2453255.63","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004dk_2004-09-07_03-07-12_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.6","","","","","3479","7412.72","1.4694508778483","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2010-11-22 12:36:21"
"7614","2004dk","","245.45388","-2.27147","SN Ib","0.0052","22740","2004-09-10 00:00:00.00","2453258.5","","Lick-3m","KAST","Unknown","Unknown","LOSS","Y","LOSS","","SN2004dk_2004-09-10_00-00-00_Lick-3m_KAST_LOSS.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3310","10500","1.9994438264739","Shivvers et al. 2017","2017PASP..129e4201S","[Data obtained from:Shivvers, I.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2010-11-22 12:36:21"
"7614","2004dk","","245.45388","-2.27147","SN Ib","0.0052","22744","2004-09-10 02:38:24.00","2453258.61","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004dk_2004-09-10_02-38-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1020","3","","1.51","","","","","3540","7470.78","1.4694504672897","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2010-11-22 12:36:21"
"7614","2004dk","","245.45388","-2.27147","SN Ib","0.0052","49259","2004-09-10 03:41:45.00","2453258.6539931","","Lick-3m","KAST","Alex Filippenko, Mohan Ganeshalingam, Frank Serduke, Jennifer Hoffman","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2004dk_2004-09-10_03-41-45_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3310","10500","1.9994438264739","","2017PASP..129e4201S","SNR: 51.6429;","WIS_Bot1","2019-01-23 10:48:35"
"7614","2004dk","","245.45388","-2.27147","SN Ib","0.0052","22741","2004-09-24 00:00:00.00","2453272.5","","Lick-3m","KAST","Unknown","Unknown","LOSS","Y","LOSS","","SN2004dk_2004-09-24_00-00-00_Lick-3m_KAST_LOSS.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3320","10500","1.9994430520746","Shivvers et al. 2017","2017PASP..129e4201S","[Data obtained from:Shivvers, I.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2010-11-22 12:36:21"
