"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"8340","2004gq","","78.020042","-15.681719","SN Ib","0.006468","25331","2004-12-12 00:00:00.00","2453351.5","","Keck1","LRIS","Unknown","Unknown","LOSS","Y","LOSS","","SN2004gq_2004-12-12_00-00-00_Keck1_LRIS_LOSS.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3200","9320","1.999346618752","Shivvers et al. 2017","2017PASP..129e4201S","[Data obtained from:Shivvers, I.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:44"
"8340","2004gq","","78.020042","-15.681719","SN Ib","0.006468","25307","2004-12-12 07:12:00.00","2453351.8","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004gq_2004-12-12_07-12-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.48","","","","","3485","7411.37","1.4694498502994","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:44"
"8340","2004gq","","78.020042","-15.681719","SN Ib","0.006468","49213","2004-12-12 11:34:04.00","2453351.9819907","","Keck1","LRIS","Ryan Foley, Alex Filippenko","Ryan Foley","UCB-SNDB","Y","UCB-SNDB","","SN_2004gq_2004-12-12_11-34-04_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3200","9320","1.999346618752","","2017PASP..129e4201S","SNR: 102.312;","WIS_Bot1","2019-01-23 10:48:35"
"8340","2004gq","","78.020042","-15.681719","SN Ib","0.006468","25332","2004-12-13 00:00:00.00","2453352.5","","LCO-duPont","WFCCD","Unknown","Unknown","LOSS","Y","LOSS","","SN2004gq_2004-12-13_00-00-00_LCO-duPont_WFCCD_LOSS.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3800","9234.9999999999","3.0397091722595","Shivvers et al. 2017","2017PASP..129e4201S","[Data obtained from:Shivvers, I.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:44"
"8340","2004gq","","78.020042","-15.681719","SN Ib","0.006468","69602","2004-12-13 05:31:12.00","2453352.73","","LCO-duPont","WFCCD","NA","","","Y","","","2004gq_2004-12-13.23_LCO-duPont_WFCCD_None.txt","2004gq_2004-12-13.23_LCO-duPont_WFCCD_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","300","","","1.07","","","","","3800","9234.9999999999","3.0397091722595","Stritzinger et al. 2023","2023arXiv230211303S","","WIS_Bot1","2023-04-02 15:40:25"
"8340","2004gq","","78.020042","-15.681719","SN Ib","0.006468","25308","2004-12-13 08:38:24.00","2453352.86","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004gq_2004-12-13_08-38-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.62","","","","","3485","7409.9","1.469449644328","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:44"
"8340","2004gq","","78.020042","-15.681719","SN Ib","0.006468","25309","2004-12-14 07:40:48.00","2453353.82","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004gq_2004-12-14_07-40-48_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.5","","","","","3485","7409.9","1.469449644328","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:44"
"8340","2004gq","","78.020042","-15.681719","SN Ib","0.006468","25310","2004-12-15 07:26:24.00","2453354.81","","FLWO-1.5m","FAST","JHuc","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004gq_2004-12-15_07-26-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.49","","","","","3485","7409.9","1.469449644328","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:44"
"8340","2004gq","","78.020042","-15.681719","SN Ib","0.006468","25311","2004-12-16 08:09:36.00","2453355.84","","FLWO-1.5m","FAST","JHuc","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004gq_2004-12-16_08-09-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.56","","","","","3485","7411.37","1.4694498502994","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:44"
"8340","2004gq","","78.020042","-15.681719","SN Ib","0.006468","25333","2004-12-17 00:00:00.00","2453356.5","","Lick-3m","KAST","Unknown","Unknown","LOSS","Y","LOSS","","SN2004gq_2004-12-17_00-00-00_Lick-3m_KAST_LOSS.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3378","10308","1.999422965955","Shivvers et al. 2017","2017PASP..129e4201S","[Data obtained from:Shivvers, I.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:44"
