"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"4100","2007C","","197.20542","-6.78361","SN Ib","0.005611","12442","2007-01-09 12:14:24.00","2454110.01","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2007C_2007-01-09_12-14-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.33","","","","","3475","7411.66","1.469451287794","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4100","2007C","","197.20542","-6.78361","SN Ib","0.005611","12443","2007-01-10 12:14:24.00","2454111.01","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2007C_2007-01-10_12-14-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1800","3","","1.32","","","","","3474","7410.66","1.469451287794","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4100","2007C","","197.20542","-6.78361","SN Ib","0.005611","69659","2007-01-13 08:09:36.00","2454113.84","","LCO-duPont","BC-duPont","NA","","","Y","","","2007C_2007-01-13.34_LCO-duPont_BC-duPont_None.txt","2007C_2007-01-13.34_LCO-duPont_BC-duPont_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","300","","","1.29","","","","","3931.6665404099","10142.349493394","2.8281798510855","Stritzinger et al. 2023","2023arXiv230211303S","","WIS_Bot1","2023-04-02 15:40:25"
"4100","2007C","","197.20542","-6.78361","SN Ib","0.005611","50134","2007-01-13 16:26:24.00","2454114.185","","Keck1","LRIS","Ryan Foley","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2007C_2007-01-13_16-26-24_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3284","9262","1.9993311036789","","2019MNRAS.482.1545S","SNR: 33.1093;","WIS_Bot1","2019-01-23 10:48:35"
"4100","2007C","","197.20542","-6.78361","SN Ib","0.005611","12444","2007-01-14 12:00:00.00","2454115","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2007C_2007-01-14_12-00-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.3","","","","","3474","7410.66","1.469451287794","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4100","2007C","","197.20542","-6.78361","SN Ib","0.005611","12445","2007-01-16 13:12:00.00","2454117.05","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2007C_2007-01-16_13-12-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1080","3","","1.29","","","","","3479","7415.66","1.469451287794","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4100","2007C","","197.20542","-6.78361","SN Ib","0.005611","69660","2007-01-18 06:43:12.00","2454118.78","","LCO-duPont","BC-duPont","NA","","","Y","","","2007C_2007-01-18.28_LCO-duPont_BC-duPont_None.txt","2007C_2007-01-18.28_LCO-duPont_BC-duPont_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","900","","","1.63","","","","","3402.43","9607.6199933179","3.0328396839286","Stritzinger et al. 2023","2023arXiv230211303S","","WIS_Bot1","2023-04-02 15:40:25"
"4100","2007C","","197.20542","-6.78361","SN Ib","0.005611","12446","2007-01-22 12:00:00.00","2454123","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2007C_2007-01-22_12-00-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.28","","","","","3479","7415.66","1.469451287794","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4100","2007C","","197.20542","-6.78361","SN Ib","0.005611","50133","2007-01-26 13:26:24.00","2454127.06","","Lick-3m","KAST","Matthew Moore, Thea Steele","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2007C_2007-01-26_13-26-24_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3330","10500","1.9994422755159","","2019MNRAS.482.1545S","SNR: 45.1653;","WIS_Bot1","2019-01-23 10:48:35"
"4100","2007C","","197.20542","-6.78361","SN Ib","0.005611","69661","2007-01-31 08:38:24.00","2454131.86","","ESO-NTT","EMMI","NA","","","Y","","","2007C_2007-01-31.36_ESO-NTT_EMMI_None.txt","2007C_2007-01-31.36_ESO-NTT_EMMI_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","400","","","1.1","","","","","3200","5300","2.1","Stritzinger et al. 2023","2023arXiv230211303S","","WIS_Bot1","2023-04-02 15:40:25"
