"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"5931","2008D","","137.37771","33.13897","SN Ib","0.006521","17818","2008-01-11 00:00:00.00","2454476.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","SN2008D_2008-01-11_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","1200","1","","1.12","","","","","3206","8398.85","1.949268018018","Modjaz et al. 2009","2009ApJ...702..226M",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5931","2008D","","137.37771","33.13897","SN Ib","0.006521","17845","2008-01-11 09:36:00.00","2454476.9","","MMT","MMT-Blue","Unknown","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2008D_2008-01-11_09-36-00_MMT_MMT-Blue_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1380","1","","1.01","","","","","3300","8399.25","1.949254587156","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5931","2008D","","137.37771","33.13897","SN Ib","0.006521","17802","2008-01-12 00:00:00.00","2454477.5","","NOT","ALFOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2008D_2008-01-12_00-00-00_NOT_ALFOSC_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","2972.21475","9096.2055","1.4943852489019","Malesani et al. 2009","2009AIPC.1111..627M","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5931","2008D","","137.37771","33.13897","SN Ib","0.006521","17819","2008-01-12 00:00:00.00","2454477.5","","Lick-3m","KAST","Unknown","Unknown","","Y","","","SN2008D_2008-01-12_00-00-00_Lick-3m_KAST_None.flm","","Object","","","Air","Angstrom","1","Other","","2400","2","","1.04","","","","","3312","8132","1.9991704686852","Modjaz et al. 2009","2009ApJ...702..226M",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5931","2008D","","137.37771","33.13897","SN Ib","0.006521","17820","2008-01-12 00:00:00.00","2454477.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","SN2008D_2008-01-12_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","600","1","","1.62","","","","","3220","8134.02","1.9392344119968","Modjaz et al. 2009","2009ApJ...702..226M",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5931","2008D","","137.37771","33.13897","SN Ib","0.006521","17821","2008-01-12 00:00:00.00","2454477.5","","Keck2","DEIMOS","Unknown","Unknown","","Y","","","SN2008D_2008-01-12_00-00-00_Keck2_DEIMOS_None.flm","","Object","","","Air","Angstrom","1","Other","","300","1","","1.64","","","","","4932","10080","0.99980578753156","Modjaz et al. 2009","2009ApJ...702..226M",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5931","2008D","","137.37771","33.13897","SN Ib","0.006521","50648","2008-01-12 08:38:24.00","2454477.86","","Lick-3m","KAST","de Vries","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN_2008D_2008-01-12_08-38-24_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3312","8132","1.9991704686852","","2019MNRAS.482.1545S","SNR: 16.8804;","WIS_Bot1","2019-01-23 10:48:35"
"5931","2008D","","137.37771","33.13897","SN Ib","0.006521","17846","2008-01-12 13:12:00.00","2454478.05","","MMT","MMT-Blue","Unknown","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2008D_2008-01-12_13-12-00_MMT_MMT-Blue_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","300","1","","1.62","","","","","3220","8134.02","1.9392344119968","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5931","2008D","","137.37771","33.13897","SN Ib","0.006521","17822","2008-01-13 00:00:00.00","2454478.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","SN2008D_2008-01-13_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","1200","1","","1.08","","","","","3220","8134.02","1.9392344119968","Modjaz et al. 2009","2009ApJ...702..226M",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5931","2008D","","137.37771","33.13897","SN Ib","0.006521","17823","2008-01-13 00:00:00.00","2454478.5","","Lick-3m","KAST","Unknown","Unknown","","Y","","","SN2008D_2008-01-13_00-00-00_Lick-3m_KAST_None.flm","","Object","","","Air","Angstrom","1","Other","","2400","2","","1.01","","","","","3314","8120","1.9991680532446","Modjaz et al. 2009","2009ApJ...702..226M",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
