"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"567","2009jf","","346.22075","12.333194","SN Ib","0.008","1636","2009-10-02 00:00:00.00","2455106.5","","TNG","DOLORES","Unknown","Unknown","","Y","","","SN2009jf_2009-10-02_00-00-00_TNG_DOLORES_None.ascii","SN2009jf_2009-10-02_00-00-00_TNG_DOLORES_None.fits","Object","","","Air","Angstrom","1","Other","","900","0","","","","LRB/LRR","","","3164","10330.348895073","2.6463622212234","Valenti et al. 2011","2011MNRAS.416.3138V","[Data obtained from:Valenti, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-04 09:33:14"
"567","2009jf","","346.22075","12.333194","SN Ib","0.008","1637","2009-10-04 00:00:00.00","2455108.5","","VLT-UT1","FORS2","Unknown","Unknown","","Y","","","SN2009jf_2009-10-04_00-00-00_VLT-UT1_FORS2_None.ascii","SN2009jf_2009-10-04_00-00-00_VLT-UT1_FORS2_None.fits","Object","","","Air","Angstrom","1","Other","","300","0","","","","300V/300I","","","3536.4772949219","9634.0742187501","3.2942176789996","Valenti et al. 2011","2011MNRAS.416.3138V","[Data obtained from:Valenti, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-04 09:33:14"
"567","2009jf","","346.22075","12.333194","SN Ib","0.008","1638","2009-10-05 00:00:00.00","2455109.5","","TNG","NICS","Unknown","Unknown","","Y","","","SN2009jf_2009-10-05_00-00-00_TNG_NICS_None.ascii","SN2009jf_2009-10-05_00-00-00_TNG_NICS_None.fits","Object","","","Air","Angstrom","1","Other","","600","0","","","","","","","8688.1572265625","24774.3828125","5.7287128155048","Valenti et al. 2011","2011MNRAS.416.3138V","[Data obtained from:Valenti, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-04 09:33:14"
"567","2009jf","","346.22075","12.333194","SN Ib","0.008","1639","2009-10-06 00:00:00.00","2455110.5","","CA-2.2m","CAFOS","Unknown","Unknown","","Y","","","SN2009jf_2009-10-06_00-00-00_CA-2.2m_CAFOS_None.ascii","SN2009jf_2009-10-06_00-00-00_CA-2.2m_CAFOS_None.fits","Object","","","Air","Angstrom","1","Other","","3600","0","","","","b200","","","3206.5","8768.9055561879","4.6353379634899","Valenti et al. 2011","2011MNRAS.416.3138V","[Data obtained from:Valenti, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-04 09:33:14"
"567","2009jf","","346.22075","12.333194","SN Ib","0.008","1640","2009-10-07 00:00:00.00","2455111.5","","CA-2.2m","CAFOS","Unknown","Unknown","","Y","","","SN2009jf_2009-10-07_00-00-00_CA-2.2m_CAFOS_None.ascii","SN2009jf_2009-10-07_00-00-00_CA-2.2m_CAFOS_None.fits","Object","","","Air","Angstrom","1","Other","","3600","0","","","","r200","","","6125.8416838166","10613.312504491","4.2737817339754","Valenti et al. 2011","2011MNRAS.416.3138V","[Data obtained from:Valenti, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-04 09:33:14"
"567","2009jf","","346.22075","12.333194","SN Ib","0.008","1658","2009-10-10 05:45:36.00","2455114.74","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2009jf_2009-10-10_05-45-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.07","","","","","3486","7415.31","1.4694502617801","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-04 09:33:14"
"567","2009jf","","346.22075","12.333194","SN Ib","0.008","1641","2009-10-12 00:00:00.00","2455116.5","","TNG","DOLORES","Unknown","Unknown","","Y","","","SN2009jf_2009-10-12_00-00-00_TNG_DOLORES_None.ascii","SN2009jf_2009-10-12_00-00-00_TNG_DOLORES_None.fits","Object","","","Air","Angstrom","1","Other","","1200","0","","","","LRB/LRR","","","3400","10342.555381775","2.6528679334256","Valenti et al. 2011","2011MNRAS.416.3138V","[Data obtained from:Valenti, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-04 09:33:14"
"567","2009jf","","346.22075","12.333194","SN Ib","0.008","49465","2009-10-12 07:48:00.00","2455116.825","","Lick-3m","KAST","Jeffrey Silverman, Michael Kandrashoff","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2009jf_2009-10-12_07-48-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3480","10740","1.9994491875516","","2019MNRAS.482.1545S","SNR: 54.154;","WIS_Bot1","2019-01-23 10:48:35"
"567","2009jf","","346.22075","12.333194","SN Ib","0.008","1642","2009-10-13 00:00:00.00","2455117.5","","NOT","ALFOSC","Unknown","Unknown","","Y","","","SN2009jf_2009-10-13_00-00-00_NOT_ALFOSC_None.ascii","SN2009jf_2009-10-13_00-00-00_NOT_ALFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","100","0","","","","gr4","","","3300","9116.6347880364","2.9982653546579","Valenti et al. 2011","2011MNRAS.416.3138V","[Data obtained from:Valenti, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-04 09:33:14"
"567","2009jf","","346.22075","12.333194","SN Ib","0.008","1659","2009-10-14 05:02:24.00","2455118.71","","FLWO-1.5m","FAST","AV","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2009jf_2009-10-14_05-02-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1500","3","","1.06","","","","","3466","7417.36","1.4694533283749","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-04 09:33:14"
