WAVE,FLUX,ERR,SKYBACK
5989.697,8.4549013E-16,1.0098137E-17,1.3947733E-16
5993.912,8.458178E-16,1.01134E-17,1.4431488E-16
5998.128,8.3748456E-16,1.0049973E-17,1.4050561E-16
6002.3433,8.450274E-16,1.0048209E-17,1.3490988E-16
6006.5586,8.620395E-16,1.0103618E-17,1.305034E-16
6010.7744,8.2242553E-16,9.912611E-18,1.2702311E-16
6014.9897,8.3743125E-16,9.9590494E-18,1.2488953E-16
6019.205,8.143896E-16,9.881738E-18,1.3327861E-16
6023.421,7.983818E-16,9.798604E-18,1.3351088E-16
6027.636,8.0563786E-16,9.839575E-18,1.373246E-16
6031.852,7.817219E-16,9.6991675E-18,1.2957853E-16
6036.0674,7.76913E-16,9.670017E-18,1.3059072E-16
6040.2827,7.790185E-16,9.636568E-18,1.2255194E-16
6044.4985,7.582067E-16,9.553536E-18,1.2567625E-16
6048.714,7.5624716E-16,9.5248326E-18,1.2274897E-16
6052.9297,7.5685904E-16,9.513293E-18,1.2175087E-16
6057.145,7.42481E-16,9.455799E-18,1.2518962E-16
6061.3604,7.3307493E-16,9.3974625E-18,1.253552E-16
6065.576,7.3070075E-16,9.373455E-18,1.2307246E-16
6069.7915,7.3751074E-16,9.40082E-18,1.2394664E-16
6074.007,7.2353316E-16,9.31325E-18,1.2098843E-16
6078.2227,7.148252E-16,9.268407E-18,1.213694E-16
6082.438,7.098936E-16,9.232584E-18,1.1984979E-16
6086.654,7.0911957E-16,9.211604E-18,1.1756492E-16
6090.869,7.0189883E-16,9.1847885E-18,1.217014E-16
6095.0845,6.9343067E-16,9.1441665E-18,1.2319563E-16
6099.3003,6.8425243E-16,9.067857E-18,1.1743246E-16
6103.5156,7.0915054E-16,9.161515E-18,1.1392324E-16
6107.731,6.9277184E-16,9.094186E-18,1.1760085E-16
6111.947,6.732602E-16,8.999237E-18,1.1916344E-16
6116.162,6.673954E-16,8.966527E-18,1.1878615E-16
6120.378,6.685451E-16,8.94193E-18,1.1438321E-16
6124.5933,6.672773E-16,8.951234E-18,1.2123019E-16
6128.8086,6.5264773E-16,8.913891E-18,1.2891692E-16
6133.0244,6.5965714E-16,8.9301335E-18,1.2816792E-16
6137.2397,6.415688E-16,8.854203E-18,1.306365E-16
6141.455,6.604888E-16,8.912774E-18,1.248022E-16
6145.671,6.4643336E-16,8.8343005E-18,1.233049E-16
6149.886,6.588972E-16,8.865428E-18,1.1895322E-16
6154.102,6.6224276E-16,8.8778E-18,1.1935462E-16
6158.3174,6.684878E-16,8.899374E-18,1.2020395E-16
6162.5327,6.464671E-16,8.804165E-18,1.2336914E-16
6166.7485,6.4062055E-16,8.761259E-18,1.2062468E-16
6170.964,6.4377146E-16,8.778781E-18,1.238763E-16
6175.179,6.369022E-16,8.740679E-18,1.2418796E-16
6179.395,6.608142E-16,8.8088085E-18,1.1511207E-16
6183.6104,6.27898E-16,8.660409E-18,1.1962952E-16
6187.826,6.4947257E-16,8.762479E-18,1.2093648E-16
6192.0415,6.4615834E-16,8.729626E-18,1.1831895E-16
6196.257,6.509306E-16,8.73594E-18,1.1616684E-16
6200.4727,6.5516066E-16,8.7546166E-18,1.1774872E-16
6204.688,6.339019E-16,8.682224E-18,1.2544776E-16
6208.904,6.32832E-16,8.6504505E-18,1.2188078E-16
6213.119,6.281321E-16,8.6343544E-18,1.2505732E-16
6217.3345,6.320862E-16,8.727624E-18,1.3941685E-16
6221.5503,6.264365E-16,8.74882E-18,1.537117E-16
6225.7656,6.251313E-16,8.766657E-18,1.6238267E-16
6229.981,6.4004197E-16,8.826673E-18,1.609203E-16
6234.197,6.2728655E-16,8.773314E-18,1.6495384E-16
6238.412,6.24449E-16,8.764718E-18,1.6671124E-16
