WAVE,FLUX,ERR,SKYBACK
9370.354,2.1361845E-16,5.8728405E-18,4.1573935E-17
9377.304,1.9988982E-16,5.2863173E-18,3.5676376E-17
9384.255,1.8366252E-16,5.0603634E-18,3.1956773E-17
9391.206,2.0528106E-16,5.392544E-18,3.4870904E-17
9398.157,1.7699414E-16,5.1469548E-18,3.38886E-17
9405.108,1.9659756E-16,5.293526E-18,3.4037787E-17
9412.06,1.9121807E-16,5.3789434E-18,3.4797913E-17
9419.011,1.7187945E-16,6.3084516E-18,3.714801E-17
9425.962,1.8167136E-16,5.4937436E-18,3.8540092E-17
9432.913,2.1371135E-16,5.6200487E-18,3.689088E-17
9439.864,1.7155604E-16,5.3383693E-18,3.8472845E-17
9446.815,1.8973946E-16,5.7532103E-18,3.5376956E-17
9453.767,1.7899318E-16,5.177922E-18,3.5402384E-17
9460.718,1.7353224E-16,5.240729E-18,3.4787627E-17
9467.669,1.7638611E-16,5.0949644E-18,3.789441E-17
9474.62,1.8585179E-16,5.4728027E-18,3.5097756E-17
9481.571,1.9021332E-16,5.9192147E-18,3.7545606E-17
9488.522,1.5358306E-16,5.2272823E-18,3.4501763E-17
9495.473,1.765236E-16,4.9654432E-18,3.6682462E-17
9502.424,1.5416266E-16,4.7687653E-18,3.61175E-17
9509.375,1.7947425E-16,5.112376E-18,3.756837E-17
9516.326,1.8039944E-16,4.981545E-18,3.4427505E-17
9523.277,1.805779E-16,4.931006E-18,3.3541052E-17
9530.229,1.9455414E-16,5.0858385E-18,3.229605E-17
9537.18,1.6965335E-16,4.885785E-18,3.2859465E-17
9544.131,1.7663813E-16,4.8996877E-18,3.7078993E-17
9551.082,1.7211801E-16,5.181067E-18,3.2636868E-17
9558.033,1.7333161E-16,4.6806776E-18,3.2174427E-17
9564.984,1.4972917E-16,4.7472578E-18,2.8718394E-17
9571.936,1.6000533E-16,4.5955892E-18,3.0615258E-17
9578.887,1.7791509E-16,4.968581E-18,3.066801E-17
9585.838,1.741892E-16,4.638414E-18,2.8564902E-17
9592.789,1.6888462E-16,4.9891572E-18,2.79749E-17
9599.74,1.6387798E-16,4.6112862E-18,2.9576144E-17
9606.691,1.8920135E-16,4.6621053E-18,2.840196E-17
9613.642,1.6094129E-16,4.3884194E-18,2.8119204E-17
9620.593,1.4867032E-16,5.073554E-18,2.8031963E-17
9627.544,1.6706133E-16,4.3752986E-18,3.019568E-17
9634.495,1.6463553E-16,5.062877E-18,2.6652578E-17
9641.446,1.6323204E-16,4.3069595E-18,2.6249118E-17
9648.397,1.5876116E-16,4.231307E-18,2.6523885E-17
9655.349,1.5722544E-16,4.1217835E-18,2.5665095E-17
9662.3,1.646077E-16,4.2433824E-18,2.561103E-17
9669.251,1.7786658E-16,4.250289E-18,2.4917716E-17
9676.202,1.6288193E-16,4.4521483E-18,2.3609814E-17
9683.153,1.8585012E-16,4.3598916E-18,2.472033E-17
9690.1045,1.7216747E-16,3.9801325E-18,2.7204738E-17
9697.056,1.7075316E-16,4.0494242E-18,2.368156E-17
9704.007,1.6561726E-16,4.090745E-18,2.7817207E-17
