"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"9268","2015ah","PSN J23002463+0137368","345.1026","1.6269","SN Ib","0.016","49087","2015-08-11 11:19:40.00","2457245.9719907","","Lick-3m","KAST","Jon Mauerhan, Minkyu Kim","Heechan Yuk","UCB-SNDB","Y","UCB-SNDB","","SN_2015ah_2015-08-11_11-19-40_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3410","10786","1.9994578476552","","2019MNRAS.482.1545S","SNR: 47.8766;","WIS_Bot1","2019-01-23 10:48:35"
"9268","2015ah","PSN J23002463+0137368","345.1026","1.6269","SN Ib","0.016","49089","2015-08-12 10:23:31.00","2457246.9329977","","Lick-3m","KAST","Isaac Shivvers","Isaac Shivvers","UCB-SNDB","Y","UCB-SNDB","","SN_2015ah_2015-08-12_10-23-31_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3420","10830","1.9994603345926","","2019MNRAS.482.1545S","SNR: 40.2685;","WIS_Bot1","2019-01-23 10:48:35"
"9268","2015ah","","345.1026","1.6269","SN Ib","0.016","53461","2015-08-13 13:21:52.00","2457248.05686413","","FTS","FLOYDS-S","Unknown","","","Y","","","2015ah_2457248.05686413_FTS_FLOYDS-S_None.ascii","2015ah_2457248.05686413_FTS_FLOYDS-S_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3450.7353515625","10000.863282681","1.7355929865178","Prentice et al. 2019","2019MNRAS.485.1559P","","Dr Simon Prentice","2019-08-16 12:35:30"
"9268","2015ah","","345.1026","1.6269","SN Ib","0.016","74403","2015-08-14 07:50:04.00","2457248.8264352","","ESO-NTT","EFOSC2-NTT","Kankare","Smartt","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2015ah_2015-08-14_07-50-04_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2015ah_2015-08-14_07-50-04_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1200","","","","","","","","3339.6384","7465.9463","4.081412363996","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"9268","2015ah","","345.1026","1.6269","SN Ib","0.016","74402","2015-08-14 08:10:55.00","2457248.8409144","","ESO-NTT","EFOSC2-NTT","Kankare","Smartt","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2015ah_2015-08-14_08-10-55_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2015ah_2015-08-14_08-10-55_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1200","","","","","","","","5989.697","9990.222","4.2110789473684","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"9268","2015ah","","345.1026","1.6269","SN Ib","0.016","53484","2015-08-15 02:27:52.00","2457249.60268733","","LT","SPRAT","S.Williams,A. Piascik","","","Y","","","2015ah_2457249.60268733_LT_SPRAT_None.txt","2015ah_2457249.60268733_LT_SPRAT_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1200","","","","","","","","4084.3999984176","7994.3999023438","9.1784035303431","","2019MNRAS.485.1559P","","Dr Simon Prentice","2019-08-19 14:39:36"
"9268","2015ah","","345.1026","1.6269","SN Ib","0.016","74401","2015-08-15 06:21:20.00","2457249.7648148","","ESO-NTT","Sofi","PESSTO members","","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2015ah_2015-08-15_06-21-20_ESO-NTT_Sofi_PESSTO_SSDR1-4.csv","SN2015ah_2015-08-15_06-21-20_ESO-NTT_Sofi_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","2160","","","","","","","","9370.354","16481.344","6.944326171875","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"9268","2015ah","","345.1026","1.6269","SN Ib","0.016","74400","2015-08-15 07:31:38.00","2457249.8136343","","ESO-NTT","Sofi","PESSTO members","","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2015ah_2015-08-15_07-31-38_ESO-NTT_Sofi_PESSTO_SSDR1-4.csv","SN2015ah_2015-08-15_07-31-38_ESO-NTT_Sofi_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","2250","","","","","","","","14997.138","25410.02","10.168830078125","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"9268","2015ah","","345.1026","1.6269","SN Ib","0.016","53463","2015-08-16 13:12:11.00","2457251.05012684","","FTS","FLOYDS-S","Unknown","","","Y","","","2015ah_2457251.05012684_FTS_FLOYDS-S_None.ascii","2015ah_2457251.05012684_FTS_FLOYDS-S_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3399.5986328125","10000.843957663","1.7357994543387","Prentice et al. 2019","2019MNRAS.485.1559P","","Dr Simon Prentice","2019-08-16 12:35:30"
"9268","2015ah","","345.1026","1.6269","SN Ib","0.016","53486","2015-08-17 00:06:59.00","2457251.50484553","","LT","SPRAT","S.Williams,A. Piascik","","","Y","","","2015ah_2457251.50484553_LT_SPRAT_None.txt","2015ah_2457251.50484553_LT_SPRAT_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1200","","","","","","","","4020","7994.3999023438","9.178752661302","","2019MNRAS.485.1559P","","Dr Simon Prentice","2019-08-19 14:39:36"
"9268","2015ah","","345.1026","1.6269","SN Ib","0.016","74399","2015-08-19 04:36:43.00","2457253.6921644","","ESO-NTT","EFOSC2-NTT","Ashall,Prentice","Inserra","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2015ah_2015-08-19_04-36-43_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2015ah_2015-08-19_04-36-43_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","900","","","","","","","","3336.838","7458.388","4.076706231454","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"9268","2015ah","","345.1026","1.6269","SN Ib","0.016","74398","2015-08-19 04:52:35.00","2457253.7031829","","ESO-NTT","EFOSC2-NTT","Ashall,Prentice","Inserra","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2015ah_2015-08-19_04-52-35_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2015ah_2015-08-19_04-52-35_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","900","","","","","","","","5985.6836","9983.365","4.2080856842105","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
