"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"5832","","iPTF13bvn","225.00075","1.88145","SN Ib","0.00449","17413","2013-06-17 00:00:00.00","2456460.5","","SALT","HRS-SALT","Shazrene Mohamed (trigger)","Dan Milisavljevic","iPTF","Y","iPTF","","iPTF13bvn_2013-06-17_00-00-00_SALT_HRS-SALT_iPTF.ascii","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3205.3723144531","9040.4541015623","1.9012974216713","Fremling et al. 2016","2016A&amp;A...593A..68F",""," Migration From WISeREP1.0","2013-06-19 07:20:01"
"5832","","iPTF13bvn","225.00075","1.88145","SN Ib","0.00449","17414","2013-06-17 21:57:08.00","2456461.4146759","","TNG","DOLORES","None","Emma Walker","iPTF","Y","iPTF","","iPTF13bvn_2013-06-17_21-57-08_TNG_DOLORES_iPTF.ascii","iPTF13bvn_2013-06-17_21-57-08_TNG_DOLORES_iPTF.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3164.25946093","7986.86937904","2.7620904456529","Cao et al. 2013","2013ApJ...775L...7C","[Marshal: lastmodified=2013-06-24 07:41:49; specid=5948] [Prev. spec info - createdby: upload-marshalspec; modifiedby: ofer]"," Migration From WISeREP1.0","2013-06-19 07:20:01"
"5832","","iPTF13bvn","225.00075","1.88145","SN Ib","0.00449","17415","2013-06-18 00:00:00.00","2456461.5","","HET","HET-LRS","HET Queue","Jeff Silverman","iPTF","Y","iPTF","","iPTF13bvn_2013-06-18_00-00-00_HET_HET-LRS_iPTF.ascii","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","4172","10800","3.9975874547648","Cao et al. 2013","2013ApJ...775L...7C",""," Migration From WISeREP1.0","2013-06-19 07:20:01"
"5832","","iPTF13bvn","225.00075","1.88145","SN Ib","0.00449","17497","2013-06-18 00:00:00.00","2456461.5","","HCT-2m","HFOSC","SS","GCA/DKS","","Y","","","iPTF13bvn_2013-06-18_00-00-00_HCT-2m_HFOSC_None.dat","iPTF13bvn_2013-06-18_00-00-00_HCT-2m_HFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3850","8998.73","1.2700370004933","Srivastav et al. 2014","2014MNRAS.445.1932S","From Srivastav, S. [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-06-19 07:20:01"
"5832","","iPTF13bvn","225.00075","1.88145","SN Ib","0.00449","17498","2013-06-19 00:00:00.00","2456462.5","","HCT-2m","HFOSC","SS","GCA/DKS","","Y","","","iPTF13bvn_2013-06-19_00-00-00_HCT-2m_HFOSC_None.dat","iPTF13bvn_2013-06-19_00-00-00_HCT-2m_HFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3700","9198.73","1.2687425011537","Srivastav et al. 2014","2014MNRAS.445.1932S","From Srivastav, S. [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-06-19 07:20:01"
"5832","","iPTF13bvn","225.00075","1.88145","SN Ib","0.00449","17418","2013-06-19 08:04:39.00","2456462.8365625","","FTN","FLOYDS-N","Unknown","Unknown","iPTF","Y","iPTF","","iPTF13bvn_2013-06-19_08-04-39_FTN_FLOYDS-N_iPTF.ascii","iPTF13bvn_2013-06-19_08-04-39_FTN_FLOYDS-N_iPTF.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3200","10200.0000759","1.6973812017216","Cao et al. 2013","2013ApJ...775L...7C","[Marshal: lastmodified=2013-06-19 15:44:14; specid=5933] [Prev. spec info - createdby: upload-marshalspec; modifiedby: ofer]"," Migration From WISeREP1.0","2013-06-19 07:20:01"
"5832","","iPTF13bvn","225.00075","1.88145","SN Ib","0.00449","17419","2013-06-20 00:00:00.00","2456463.5","","Other","Other","Sand","Valenti","iPTF","Y","iPTF","","iPTF13bvn_2013-06-20_00-00-00_Other_Other_iPTF.ascii","iPTF13bvn_2013-06-20_00-00-00_Other_Other_iPTF.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3179.48461914","11037.5703125","1.6972107329071","Cao et al. 2013","2013ApJ...775L...7C","[Marshal: lastmodified=2013-06-20 17:05:21; specid=5943] [Prev. spec info - createdby: upload-marshalspec; modifiedby: ofer]"," Migration From WISeREP1.0","2013-06-19 07:20:01"
"5832","","iPTF13bvn","225.00075","1.88145","SN Ib","0.00449","17426","2013-06-21 00:00:00.00","2456464.5","","FTN","FLOYDS-N","Sand","Valenti","iPTF","Y","iPTF","","iPTF13bvn_2013-06-21_00-00-00_FTN_FLOYDS-N_iPTF.ascii","iPTF13bvn_2013-06-21_00-00-00_FTN_FLOYDS-N_iPTF.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3179.33935547","11037.7138672","1.6972731126847","Cao et al. 2013","2013ApJ...775L...7C","[Marshal: lastmodified=2013-06-21 13:29:36; specid=5944] [Prev. spec info - createdby: upload-marshalspec; modifiedby: ofer]"," Migration From WISeREP1.0","2013-06-19 07:20:01"
"5832","","iPTF13bvn","225.00075","1.88145","SN Ib","0.00449","17427","2013-06-22 00:00:00.00","2456465.5","","FTN","FLOYDS-N","Sand","Valenti","iPTF","Y","iPTF","","iPTF13bvn_2013-06-22_00-00-00_FTN_FLOYDS-N_iPTF.ascii","iPTF13bvn_2013-06-22_00-00-00_FTN_FLOYDS-N_iPTF.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3178.95361328","11038.4960938","1.6975253737624","Cao et al. 2013","2013ApJ...775L...7C","[Marshal: lastmodified=2013-06-22 11:57:59; specid=5947] [Prev. spec info - createdby: upload-marshalspec; modifiedby: ofer]"," Migration From WISeREP1.0","2013-06-19 07:20:01"
"5832","","iPTF13bvn","225.00075","1.88145","SN Ib","0.00449","17508","2013-06-22 12:39:51.00","2456466.0276736","","ANU-2.3m","WiFeS","Childress","Childress","PESSTO","Y","PESSTO","","iPTF13bvn_2013-06-22_12-39-51_ANU-2.3m_WiFeS_PESSTO.dat","iPTF13bvn_2013-06-22_12-39-51_ANU-2.3m_WiFeS_PESSTO.fits","Object","High","","Air","Angstrom","1","Other","","1199","0","","1.316","RT560","","B3000","","3500","5699.341796875","0.77414353990672","Childress et al. 2016","2016PASA...33...55C","WiFeS DR1 Spectra; obtained from Mike Childress. [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-06-19 07:20:01"
