# Wavelength [Å], Flux [10**-15 erg s-1 cm-2]
3.489808011736696699e+03,1.160570972487112481e-17
3.493085175044867356e+03,2.085444794809429925e-17
3.496362338353048472e+03,2.580560745443961828e-18
3.499639501661219583e+03,-6.093333284031191463e-18
3.502916664969390240e+03,1.611516552985287195e-17
3.506193828277561352e+03,3.227684549794491956e-19
3.509470991585732463e+03,-1.548533940864598003e-19
3.512748154893903575e+03,9.367536232381038259e-18
3.516025318202074232e+03,-8.456209789188045182e-18
3.519302481510245343e+03,3.801949730275817801e-18
3.522579644818416455e+03,1.650811076764856234e-17
3.525856808126587566e+03,7.137501663321092592e-18
3.529133971434768227e+03,9.396798096330728084e-18
3.532411134742939339e+03,1.645703990837730033e-17
3.535688298051110451e+03,5.246287641056831197e-18
3.538965461359281107e+03,-1.316012188206590464e-18
3.542242624667452219e+03,5.930591681298760541e-18
3.545519787975623331e+03,9.707213441316300420e-18
3.548796951283794442e+03,-4.679889377100545753e-19
3.552074114591965099e+03,3.885863452367158331e-18
3.555351277900146215e+03,1.234526028283641014e-18
3.558628441208317327e+03,1.578142855795910003e-18
3.561905604516488438e+03,8.800443493644797240e-18
3.565182767824659095e+03,5.343085419586294058e-18
3.568459931132830661e+03,-3.694002752532252321e-18
3.571737094441001318e+03,-2.065887679286140729e-18
3.575014257749172430e+03,1.479072855320330795e-17
3.578291421057343086e+03,5.432444331478436182e-18
3.581568584365514653e+03,-1.284451574640922776e-18
3.584845747673685310e+03,1.067782108517754519e-17
3.588122910981865971e+03,3.164848015500579039e-18
3.591400074290037082e+03,-1.508400026948503103e-18
3.594677237598208194e+03,4.228775071014237117e-18
3.597954400906379306e+03,6.718394312071742702e-18
3.601231564214549962e+03,9.632717916067631032e-18
3.604508727522721529e+03,4.804972879025463407e-18
3.607785890830892185e+03,-4.865009973320049771e-18
3.611063054139063297e+03,1.802977844761797638e-18
3.614340217447243958e+03,8.356271369740708150e-20
3.617617380755415525e+03,-3.309194901415940217e-19
3.620894544063586181e+03,2.610970252121671540e-18
3.624171707371757293e+03,6.140186169349249251e-18
3.627448870679927950e+03,4.787816286829070891e-18
3.630726033988099516e+03,1.324617669214807223e-18
3.634003197296270173e+03,1.095317130338593718e-19
3.637280360604441285e+03,5.625550113195981749e-18
3.640557523912612396e+03,3.291628644954154518e-18
3.643834687220793057e+03,5.905482123458656262e-18
3.647111850528964169e+03,3.180839439527750358e-18
3.650389013837134826e+03,-3.458249965520179504e-18
3.653666177145306392e+03,2.974435650883964469e-18
3.656943340453477049e+03,-1.220578279097649007e-18
3.660220503761648160e+03,-1.752492260051865995e-18
3.663497667069818817e+03,6.331739411435694694e-18
3.666774830377990384e+03,2.566759510658078806e-18
3.670051993686161040e+03,-4.859168711006834795e-18
3.673329156994332152e+03,1.519908739785192924e-18
3.676606320302512813e+03,7.872529838801378012e-18
3.679883483610684380e+03,3.928302509048345957e-18
3.683160646918855036e+03,1.982259318465495747e-18
3.686437810227026148e+03,6.164235697082554682e-18
3.689714973535197259e+03,5.830889658621761166e-18
3.692992136843367916e+03,9.770660163533044088e-19
