# Epoch [d], NII_percentage, NII_percentage_sig
1.650000000000000000e+02,5.202743148265455808e+00,1.089089708017058344e-01
1.690000000000000000e+02,5.290820174831887712e+00,1.862813835037465116e-01
1.700000000000000000e+02,6.023769765495638140e+00,1.910998083125345359e-01
1.750000000000000000e+02,5.384034324184811204e+00,1.752042171526153047e-01
1.800000000000000000e+02,4.745549145499666999e+00,9.040495819547594847e-02
2.040000000000000000e+02,3.982674476932374752e+00,6.002529350858363255e-01
2.070000000000000000e+02,3.727184034795683942e+00,1.043055273931262211e-01
2.230000000000000000e+02,3.985882153048421639e+00,1.593004112795753269e+00
2.240000000000000000e+02,5.463849131933895542e+00,1.733118694234650481e-01
2.310000000000000000e+02,4.997383861114222725e+00,2.826540920969833892e-01
2.330000000000000000e+02,5.126056889118849824e+00,8.557071655617773387e-02
2.350000000000000000e+02,4.698596337381802712e+00,1.674635481568417794e-01
2.540000000000000000e+02,7.770515762064015064e+00,3.655180941265551708e-01
2.630000000000000000e+02,8.463354316143972156e+00,2.187188745792844613e-01
2.640000000000000000e+02,8.019243211362407919e+00,1.671574081082906893e-01
2.820000000000000000e+02,8.758879094391291531e+00,1.877664707956395451e-01
2.840000000000000000e+02,8.843450162630803746e+00,1.299694659859756962e-01
2.960000000000000000e+02,9.434616549854178302e+00,9.618767193477613386e-02
2.980000000000000000e+02,8.740111446412612395e+00,2.075108919918676464e-01
3.130000000000000000e+02,1.046764163421380012e+01,2.683846647131508667e-01
3.250000000000000000e+02,1.392501310793400826e+01,4.758570074852551679e-01
3.460000000000000000e+02,1.706903458217702152e+01,4.823384716450005438e-01
